region,state,periodo_ref,chuva_media_acumulada,temperatura_media,umidade_media,vento_medio_kmh,pressao_media_inHg,radiacao_media
CO,MS,2017-01-01,355.72867,25.874155,72.976875,5.848082,28.582272,1524.1476
CO,MS,2017-04-01,241.15715,22.100494,72.73216,6.136777,28.679344,1198.1207
CO,MS,2017-07-01,66.86427,22.97218,53.224102,7.6373353,28.71405,1401.0171
CO,MS,2017-10-01,489.82172,25.319626,70.68247,6.6536727,28.54429,1443.11
CO,MS,2018-01-01,316.96854,25.592512,76.17021,5.803038,28.537811,1440.2184
CO,MS,2018-04-01,94.031784,22.05326,70.90126,6.3811965,28.670704,1247.6294
CO,MS,2018-07-01,181.48,21.097605,63.68485,7.9798374,28.663958,1245.9856
CO,MS,2018-10-01,462.77798,25.684668,73.146774,8.140023,28.533844,1438.0194
CO,MS,2019-01-01,405.24014,26.219816,74.78397,6.9647985,28.586449,1469.0651
CO,MS,2019-04-01,154.79997,23.233004,72.95309,6.6368794,28.652983,1183.1425
CO,MS,2019-07-01,51.995552,22.915081,56.27082,8.681299,28.702457,1308.6787
CO,MS,2019-10-01,315.1645,26.689701,67.33098,7.268955,28.544758,1461.9438
CO,MS,2020-01-01,255.89336,26.391405,72.85401,6.012457,28.551683,1479.7717
CO,MS,2020-04-01,116.986664,22.042603,67.99167,6.348541,28.715797,1324.5413
CO,MS,2020-07-01,51.599995,22.399542,56.11409,7.58772,28.68042,1290.0363
CO,MS,2020-10-01,143.95557,26.676025,63.71576,7.516555,28.56842,1491.3365
CO,MS,2021-01-01,183.26233,25.761478,74.76863,5.897949,28.593582,1399.3068
